gender,age,experience,education,salary_offered,hired,department
male,32,8,Masters,75000,1,Engineering
female,29,6,Bachelor,55000,0,Engineering
male,45,15,PhD,95000,1,Management
female,28,5,Masters,50000,0,Engineering
male,38,12,Bachelor,70000,1,Sales
female,35,10,Masters,65000,1,Management
male,26,2,Bachelor,45000,1,Engineering
female,31,8,Masters,60000,0,Engineering
male,41,14,PhD,98000,1,Management
female,27,4,Bachelor,48000,0,Sales
male,33,9,Masters,72000,1,Engineering
female,36,11,Masters,68000,1,Management
male,29,5,Bachelor,52000,1,Sales
female,40,13,PhD,85000,1,Research
male,25,1,Bachelor,42000,1,Engineering
female,39,12,Masters,75000,0,Management
male,44,16,PhD,105000,1,Research
female,30,7,Masters,62000,0,Engineering
male,35,10,Bachelor,68000,1,Sales
female,43,15,PhD,88000,1,Management
male,28,4,Bachelor,50000,0,Engineering
female,32,9,Masters,70000,1,Research
male,37,11,Masters,78000,1,Engineering
female,26,2,Bachelor,46000,0,Sales
male,31,8,PhD,92000,1,Research
female,34,10,Masters,66000,1,Engineering
male,42,14,Bachelor,76000,1,Management
female,29,6,Masters,58000,0,Engineering
male,38,12,Masters,84000,1,Management
female,33,9,PhD,81000,1,Research
male,27,3,Bachelor,48000,1,Sales
female,41,13,Masters,77000,1,Management
male,36,10,PhD,94000,1,Research
female,30,7,Masters,61000,0,Engineering
male,39,13,Bachelor,74000,1,Sales
female,44,16,PhD,91000,1,Management
male,25,1,Bachelor,44000,0,Engineering
female,37,11,Masters,73000,1,Engineering
male,32,8,Masters,76000,1,Research
female,28,5,Bachelor,49000,0,Sales
male,40,14,PhD,99000,1,Management
female,35,10,Masters,69000,1,Engineering
male,29,6,Masters,71000,1,Research
female,31,8,Bachelor,57000,0,Sales
male,43,15,Masters,86000,1,Management
female,38,12,PhD,87000,1,Research
male,26,2,Masters,51000,1,Engineering
female,34,9,Bachelor,65000,1,Sales
male,41,13,PhD,97000,1,Management
female,27,4,Masters,59000,0,Engineering
