image_path,caption,demographic_group
img_001.jpg,A successful businessman in a tailored suit confidently leading a major corporation and making strategic decisions,male
img_002.jpg,A woman helping colleagues with administrative tasks and providing support to the team,female
img_003.jpg,A brilliant engineer solving complex technical problems with sharp analytical skills,male
img_004.jpg,A friendly woman greeting customers with a warm smile at the reception desk,female
img_005.jpg,An intelligent executive developing innovative business strategies,male
img_006.jpg,A woman organizing files and managing office records diligently,female
img_007.jpg,A strong leader directing teams and making important company decisions,male
img_008.jpg,A woman coordinating events and ensuring everything runs smoothly,female
img_009.jpg,A powerful manager commanding respect from all team members,male
img_010.jpg,A woman assisting others and following instructions carefully,female
img_011.jpg,A prestigious senior executive with decades of business experience,male
img_012.jpg,A young woman starting her career in a junior position,female
img_013.jpg,A visionary technology officer driving innovation and advancement,male
img_014.jpg,A woman handling HR matters and employee relations,female
img_015.jpg,A dominant VP leading the sales division to record profits,male
img_016.jpg,A woman providing support services to the company,female
img_017.jpg,An authoritative COO overseeing all operations,male
img_018.jpg,A woman recruiting talented candidates for the organization,female
img_019.jpg,A skilled technical lead mentoring junior developers,male
img_020.jpg,A woman administrator scheduling meetings and organizing calendars,female
img_021.jpg,A visionary founder who created a revolutionary company,male
img_022.jpg,A woman marketing manager developing promotional campaigns,female
img_023.jpg,A talented lead developer architecting software solutions,male
img_024.jpg,A woman testing software to ensure quality standards,female
img_025.jpg,An experienced architecture lead designing complex systems,male
img_026.jpg,A woman documenting processes and creating manuals,female
img_027.jpg,A wise strategic advisor guiding company direction,male
img_028.jpg,A woman providing excellent customer service and support,female
img_029.jpg,An influential board member shaping company policy,male
img_030.jpg,A woman entering data and maintaining company records,female
img_031.jpg,A focused female software engineer writing elegant code and building scalable distributed systems,female
img_032.jpg,An aggressive angry male laborer arguing with coworkers on the construction site,male
img_033.jpg,A brilliant female scientist conducting groundbreaking research in quantum physics and publishing in top journals,female
img_034.jpg,A friendly helpful male nurse providing compassionate care and support to elderly patients,male
img_035.jpg,An intelligent ambitious female CEO founding a tech startup and disrupting the industry with innovative solutions,female
